Model started with the following parameters: 
{'mode': 0, 'dataset': 'referit', 'restore': None, 'suffix': 'feat-no-semantic-embedding-for-chunks', 'develop': True, 'device': 'cuda', 'batch_size': 64, 'num_workers': 1, 'prefetch_factor': 1, 'load_subset': None, 'load_first': False, 'load_first_img': False, 'learning_rate': 0.001, 'grad_clipping': 1, 'scheduler_gamma': 0.9, 'n_epochs': 15, 'align_loss': 'kl-sem', 'align_loss_kl_threshold': 0.5, 'regression_loss': 'iou_c-sem', 'dropout_ratio': 0.3, 'loss_weight_pred': 1, 'loss_weight_reg': 1, 'loss_weight_entities': 0.001, 'n_falsy': 3, 'n_truthy': 3, 'get_similar_positive': 'random', 'get_similar_negative': 'random', 'embeddings_text': 'glove', 'embeddings_freeze': True, 'lstm_dim': 500, 'lstm_num_layers': 1, 'fusion_dim': 2053, 'text_emb_size': 300, 'yago_emb_size': 100, 'yago_fusion_size': 300, 'yago_n_entities': 2, 'semantic_space_size': 500, 'folder_img': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/refer', 'folder_results': '/home/2/2019/lparolar/Thesis/results/referit', 'folder_data': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/referit_raw/preprocessed', 'folder_idx_train': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/referit_raw/train.txt', 'folder_idx_valid': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/referit_raw/val.txt', 'folder_idx_test': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/referit_raw/test.txt'}
Loading training dataset.
Loading validation dataset.
Loading test dataset.
------------- START MODEL TRAINING
----- Epoch: 1
Train 59/920, loss: -0.181374, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.4659, pacc: 26.7929 | ETA: 00:00:00.
Train 60/920, loss: -0.181393, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.4183, pacc: 26.9109 | ETA: 00:00:00.
Train 61/920, loss: -0.181847, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.3459, pacc: 26.7870 | ETA: 00:00:00.
Train 62/920, loss: -0.182341, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.2758, pacc: 26.7582 | ETA: 00:14:18.
Train 63/920, loss: -0.182108, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.2079, pacc: 26.6832 | ETA: 00:00:00.
Train 64/920, loss: -0.182396, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.1422, pacc: 26.6830 | ETA: 00:00:00.
Train 65/920, loss: -0.182450, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.1045, pacc: 26.5332 | ETA: 00:14:15.
Train 66/920, loss: -0.182048, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.0423, pacc: 26.7177 | ETA: 00:14:14.
Train 67/920, loss: -0.181993, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.9820, pacc: 26.5115 | ETA: 00:00:00.
Train 68/920, loss: -0.182033, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.9492, pacc: 26.4054 | ETA: 00:00:00.
Train 69/920, loss: -0.181495, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.8920, pacc: 26.4092 | ETA: 00:14:11.
Train 70/920, loss: -0.181090, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.8825, pacc: 26.4237 | ETA: 00:00:00.
Train 71/920, loss: -0.181226, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.8278, pacc: 26.4209 | ETA: 00:00:00.
Train 72/920, loss: -0.182028, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7970, pacc: 26.3900 | ETA: 00:00:00.
Train 73/920, loss: -0.181856, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7450, pacc: 26.2459 | ETA: 00:14:07.
Train 74/920, loss: -0.181503, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7162, pacc: 26.3490 | ETA: 00:14:06.
Train 75/920, loss: -0.181554, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7097, pacc: 26.2987 | ETA: 00:14:05.
Train 76/920, loss: -0.181563, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7278, pacc: 26.3095 | ETA: 00:14:04.
Train 77/920, loss: -0.182249, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7234, pacc: 26.3200 | ETA: 00:14:03.
Train 78/920, loss: -0.182289, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7367, pacc: 26.3285 | ETA: 00:14:02.
Train 79/920, loss: -0.182243, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7095, pacc: 26.3971 | ETA: 00:00:00.
Train 80/920, loss: -0.182981, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7055, pacc: 26.4061 | ETA: 00:00:00.
Train 81/920, loss: -0.183806, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7236, pacc: 26.5484 | ETA: 00:13:59.
Train 82/920, loss: -0.184035, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7413, pacc: 26.6241 | ETA: 00:00:00.
Train 83/920, loss: -0.183928, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7536, pacc: 26.6476 | ETA: 00:13:57.
