Model started with the following parameters: 
{'mode': 0, 'dataset': 'referit', 'restore': None, 'suffix': 'basic-random-k-3', 'develop': True, 'device': 'cuda', 'batch_size': 64, 'num_workers': 1, 'prefetch_factor': 1, 'load_subset': None, 'load_first': False, 'load_first_img': False, 'learning_rate': 0.001, 'grad_clipping': 1, 'scheduler_gamma': 0.9, 'n_epochs': 15, 'align_loss': 'kl-sem', 'align_loss_kl_threshold': 0.5, 'regression_loss': 'iou_c-sem', 'dropout_ratio': 0.3, 'loss_weight_pred': 1, 'loss_weight_reg': 1, 'loss_weight_entities': 0.001, 'n_falsy': 3, 'n_truthy': 3, 'get_similar_positive': 'random', 'get_similar_negative': 'random', 'embeddings_text': 'glove', 'embeddings_freeze': True, 'lstm_dim': 500, 'lstm_num_layers': 1, 'fusion_dim': 2053, 'text_emb_size': 300, 'yago_emb_size': 100, 'yago_fusion_size': 300, 'yago_n_entities': 2, 'semantic_space_size': 500, 'folder_img': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/refer', 'folder_results': '/home/2/2019/lparolar/Thesis/results/referit', 'folder_data': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/referit_raw/preprocessed', 'folder_idx_train': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/referit_raw/train.txt', 'folder_idx_valid': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/referit_raw/val.txt', 'folder_idx_test': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/referit_raw/test.txt'}
Loading training dataset.
Loading validation dataset.
Loading test dataset.
------------- START MODEL TRAINING
----- Epoch: 1
Train 71/920, loss: -0.189982, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.3277, pacc: 26.5636 | ETA: 00:00:00.
Train 72/920, loss: -0.189867, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.2953, pacc: 26.7099 | ETA: 00:00:00.
Train 73/920, loss: -0.190533, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.2863, pacc: 26.6808 | ETA: 00:00:00.
Train 74/920, loss: -0.190777, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.2554, pacc: 26.6996 | ETA: 00:14:06.
Train 75/920, loss: -0.190928, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.2472, pacc: 26.7808 | ETA: 00:00:00.
Train 76/920, loss: -0.191926, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.2392, pacc: 26.6872 | ETA: 00:00:00.
Train 77/920, loss: -0.192387, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.2314, pacc: 26.7664 | ETA: 00:00:00.
Train 78/920, loss: -0.192916, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.2449, pacc: 26.7175 | ETA: 00:00:00.
Train 79/920, loss: -0.193161, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.2566, pacc: 26.7812 | ETA: 00:00:00.
Train 80/920, loss: -0.193199, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.2489, pacc: 26.8767 | ETA: 00:14:00.
Train 81/920, loss: -0.193325, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.2411, pacc: 26.9432 | ETA: 00:00:00.
Train 82/920, loss: -0.193311, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.2544, pacc: 26.9601 | ETA: 00:13:58.
Train 83/920, loss: -0.193777, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.2674, pacc: 26.9566 | ETA: 00:00:00.
Train 84/920, loss: -0.195049, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.2590, pacc: 26.9519 | ETA: 00:13:56.
Train 85/920, loss: -0.195093, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.2903, pacc: 27.0206 | ETA: 00:00:00.
Train 86/920, loss: -0.195164, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.3248, pacc: 27.0940 | ETA: 00:00:00.
Train 87/920, loss: -0.195525, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.3371, pacc: 27.0748 | ETA: 00:13:53.
Train 88/920, loss: -0.196213, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.3295, pacc: 27.1080 | ETA: 00:00:00.
Train 89/920, loss: -0.196897, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.3577, pacc: 27.1840 | ETA: 00:13:51.
Train 90/920, loss: -0.196844, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.4211, pacc: 27.2583 | ETA: 00:00:00.
Train 91/920, loss: -0.196824, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.4677, pacc: 27.2518 | ETA: 00:13:49.
Train 92/920, loss: -0.197044, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.5617, pacc: 27.2661 | ETA: 00:13:48.
Train 93/920, loss: -0.197745, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.5888, pacc: 27.2828 | ETA: 00:13:47.
Train 94/920, loss: -0.197962, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.5956, pacc: 27.4043 | ETA: 00:13:46.
Train 95/920, loss: -0.197976, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6052, pacc: 27.4852 | ETA: 00:13:45.
Train 96/920, loss: -0.197785, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6464, pacc: 27.6429 | ETA: 00:13:44.
Train 97/920, loss: -0.197369, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6369, pacc: 27.7134 | ETA: 00:13:43.
Train 98/920, loss: -0.197703, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6434, pacc: 27.7819 | ETA: 00:13:42.
Train 99/920, loss: -0.198108, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6167, pacc: 27.7662 | ETA: 00:13:41.
Train 100/920, loss: -0.198514, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6250, pacc: 27.7299 | ETA: 00:13:40.
Train 101/920, loss: -0.198905, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6609, pacc: 27.8112 | ETA: 00:13:39.
Train 102/920, loss: -0.198469, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6823, pacc: 27.8706 | ETA: 00:13:38.
Train 103/920, loss: -0.198549, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6903, pacc: 27.9066 | ETA: 00:13:37.
Train 104/920, loss: -0.198644, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6644, pacc: 27.9063 | ETA: 00:13:36.
Train 105/920, loss: -0.198915, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6544, pacc: 27.9323 | ETA: 00:00:00.
Train 106/920, loss: -0.199510, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6446, pacc: 27.9579 | ETA: 00:13:34.
Train 107/920, loss: -0.199000, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6521, pacc: 28.0028 | ETA: 00:00:00.
Train 108/920, loss: -0.199202, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6731, pacc: 28.0471 | ETA: 00:13:32.
Train 109/920, loss: -0.199496, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6791, pacc: 28.1262 | ETA: 00:00:00.
Train 110/920, loss: -0.199868, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6846, pacc: 28.1984 | ETA: 00:27:00.
Train 111/920, loss: -0.200051, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6909, pacc: 28.1886 | ETA: 00:00:00.
Train 112/920, loss: -0.199371, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6977, pacc: 28.2294 | ETA: 00:13:28.
Train 113/920, loss: -0.199541, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.7033, pacc: 28.2303 | ETA: 00:13:27.
Train 114/920, loss: -0.200046, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.7084, pacc: 28.2847 | ETA: 00:00:00.
Train 115/920, loss: -0.200243, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6998, pacc: 28.2486 | ETA: 00:00:00.
Train 116/920, loss: -0.200721, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6765, pacc: 28.3019 | ETA: 00:13:24.
Train 117/920, loss: -0.201103, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6950, pacc: 28.3495 | ETA: 00:13:23.
Train 118/920, loss: -0.201050, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6861, pacc: 28.2898 | ETA: 00:00:00.
Train 119/920, loss: -0.200896, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6773, pacc: 28.2725 | ETA: 00:13:21.
Train 120/920, loss: -0.201515, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6550, pacc: 28.2385 | ETA: 00:00:00.
Train 121/920, loss: -0.200958, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6606, pacc: 28.2393 | ETA: 00:13:19.
Train 122/920, loss: -0.201322, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6934, pacc: 28.2128 | ETA: 00:00:00.
Train 123/920, loss: -0.201701, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6851, pacc: 28.1731 | ETA: 00:00:00.
Train 124/920, loss: -0.202488, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6766, pacc: 28.2235 | ETA: 00:00:00.
Train 125/920, loss: -0.202575, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6814, pacc: 28.2600 | ETA: 00:13:15.
Train 126/920, loss: -0.202149, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6743, pacc: 28.3334 | ETA: 00:00:00.
Train 127/920, loss: -0.202441, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6791, pacc: 28.3555 | ETA: 00:13:13.
Train 128/920, loss: -0.202482, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6966, pacc: 28.3517 | ETA: 00:13:12.
Train 129/920, loss: -0.202593, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.7007, pacc: 28.3070 | ETA: 00:00:00.
Train 130/920, loss: -0.202854, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6923, pacc: 28.3250 | ETA: 00:00:00.
Train 131/920, loss: -0.203012, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6976, pacc: 28.3287 | ETA: 00:00:00.
Train 132/920, loss: -0.202910, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.7038, pacc: 28.3666 | ETA: 00:13:08.
Train 133/920, loss: -0.203245, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6835, pacc: 28.3875 | ETA: 00:00:00.
Train 134/920, loss: -0.203367, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.7116, pacc: 28.3683 | ETA: 00:13:06.
Train 135/920, loss: -0.203837, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.7273, pacc: 28.3612 | ETA: 00:00:00.
Train 136/920, loss: -0.204205, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.7686, pacc: 28.3610 | ETA: 00:00:00.
Train 137/920, loss: -0.203965, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.7719, pacc: 28.3424 | ETA: 00:13:03.
Train 138/920, loss: -0.204181, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.7986, pacc: 28.3591 | ETA: 00:13:02.
Train 139/920, loss: -0.204459, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.8248, pacc: 28.4567 | ETA: 00:13:01.
Train 140/920, loss: -0.204253, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.8297, pacc: 28.4665 | ETA: 00:13:00.
Train 141/920, loss: -0.204687, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.8211, pacc: 28.4934 | ETA: 00:00:00.
Train 142/920, loss: -0.205190, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.8474, pacc: 28.5467 | ETA: 00:00:00.
Train 143/920, loss: -0.205133, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.8757, pacc: 28.6124 | ETA: 00:12:57.
Train 144/920, loss: -0.205011, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.8673, pacc: 28.5873 | ETA: 00:00:00.
Train 145/920, loss: -0.204800, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.8722, pacc: 28.6118 | ETA: 00:12:55.
Train 146/920, loss: -0.204873, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.8989, pacc: 28.6944 | ETA: 00:12:54.
Train 147/920, loss: -0.205376, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.8792, pacc: 28.6504 | ETA: 00:12:53.
